id_Article,numero_loi,numero_decret,numero_article,multiplicatif,date_signature,division_partie,division_livre,division_titre,division_chapitre,division_section,division_paragraphe,contenu,code
11,96-06,,11,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,"Chapitre II : Organisation, fonctionnement et contrôle des Collectivités locales.",,,"Le domaine public et privé d'une collectivité locale se compose de biens meubles et immeubles acquis à titre onéreux ou gratuit.
L'Etat peut transférer à une collectivité locale la gestion d'une partie de son domaine public. Il peut également cogérer avec une collectivité locale ou lui affecter ou céder, à titre onéreux ou gratuit, des biens de son domaine privé se trouvant dans le ressort territorial de celle-ci.
Pour des motifs d'intérêt général, l'Etat se réserve le droit de reprendre tout ou partie de ces biens à charge d'en rembourser les impenses conformément aux lois et règlements.
Les règles relatives au classement, au déclassement, au transfert, à l'affectation, à la désaffectation, à l'aliénation du domaine d'une collectivité locale sont fixées par la loi.",Collectivités Locales
12,96-06,,12,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,"Chapitre II : Organisation, fonctionnement et contrôle des Collectivités locales.",,,Les actes des collectivités locales font l'objet d'un contrôle de légalité exercé par les représentants de l'Etat. Le Conseil d'Etat est juge du contentieux né de l'exercice du contrôle. Il est également juge des comptes.,Collectivités Locales
13,96-06,,13,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,Chapitre III : Coopération et solidarité,,,Aucune collectivité locale ne peut établir ou exercer de tutelle sur une autre collectivité locale.,Collectivités Locales
14,96-06,,14,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,Chapitre III : Coopération et solidarité,,,"Les collectivités locales peuvent entreprendre des actions de coopération entre elles.
Cette coopération peut se traduire par la création d'un groupement de deux ou plusieurs collectivités ou de toute autre structure appropriée de promotion et de coordination des actions de développement dans des domaines spécifiques.",Collectivités Locales
15,96-06,,15,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,Chapitre III : Coopération et solidarité,,,"Les collectivités locales peuvent individuellement ou collectivement, entreprendre avec l'Etat la réalisation de programmes d'intérêt commun.",Collectivités Locales
16,96-06,,16,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,Chapitre III : Coopération et solidarité,,,"L'Etat garantit et organise le principe de solidarité entre les collectivités locales. A cet effet, il crée un fonds de dotation alimenté par son budget.",Collectivités Locales
17,96-06,,17,,1996-03-22,,,TITRE PREMIER : DE LA LIBRE ADMINISTRATION DES COLLECTIVITES LOCALES,Chapitre III : Coopération et solidarité,,,"Dans les conditions prévues par le présent code, les collectivités locales peuvent dans le cadre de leurs compétences propres, entreprendre des actions de coopération qui donnent lieu à des conventions avec des collectivités locales de pays étrangers ou des organismes internationaux publics ou privés de développement.",Collectivités Locales
18,96-06,,18,,1996-03-22,,,TITRE II : DE LA REGION,,,,"La région est une collectivité locale, personne morale de droit public. Elle est administrée par un conseil régional élu au suffrage universel direct.
Le conseil régional par ses délibérations, le président du conseil régional par l'instruction des affaires et l'exécution des délibérations concourent à l'administration de la région.",Collectivités Locales
19,96-06,,19,,1996-03-22,,,TITRE II : DE LA REGION,,,,La création et l'organisation de la région ne peuvent porter atteinte ni à l'unité de la nation ni à l'intégrité du territoire.,Collectivités Locales
20,96-06,,20,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre premier : Limites et dénomination de la région,,,"La dénomination d'une région est fixée par la loi, après avis du conseil régional concerné.
Pour l'application du présent code, les régions ont les mêmes limites que les circonscriptions administratives régionales créées par la loi no 72-02 du 1er février 1972 modifiée relative à l'organisation de l'administration territoriale.",Collectivités Locales
21,96-06,,21,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre premier : Limites et dénomination de la région,,,"Pour transférer le chef-lieu d'une région ou modifier les limites territoriales de plusieurs régions, le Ministre chargé des Collectivités locales prescrit une enquête.
Pour rattacher à une région une commune ou une portion de commune, une communauté rurale ou une portion de communauté rurale, l'avis du conseil municipal ou du conseil rural et des conseils régionaux intéressés est requis.",Collectivités Locales
22,96-06,,22,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre premier : Limites et dénomination de la région,,,"Les modifications des limites territoriales des régions, les fusions de deux ou plusieurs régions, la désignation des nouveaux chefs-lieux, sont décidées par la loi.
Ces modifications entraînent rectification semblable des circonscriptions administratives concernées.",Collectivités Locales
23,96-06,,23,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre premier : Limites et dénomination de la région,,,"Les fusions et modifications de régions prennent effet à compter de la date d'ouverture de la première session du nouveau conseil régional de l'entité nouvellement créée, à moins que la loi constitutive en dispose autrement.
Dans ce dernier cas, ladite loi prévoit la dissolution du ou des conseils régionaux concernés.",Collectivités Locales
24,96-06,,24,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre premier : Limites et dénomination de la région,,,"Les biens appartenant à une région réunie à une autre ou à une portion de région érigée en région séparée, deviennent la propriété de la région à laquelle est faite la réunion ou de la nouvelle région.
Les habitants de la région ou de la portion territoriale d'une région réunie à une autre conservent la jouissance des biens dont les fruits sont perçus en nature.
Les actes portant fusion ou distraction de région en déterminent expressément toutes les autres conditions y compris la dévolution des biens.
Un décret détermine notamment les conditions d'attribution soit à la région ou aux régions de rattachement soit à l'Etat.
des terrains ou édifices faisant partie du domaine public.
de son domaine privé.
des libéralités avec charges faites en faveur de la région supprimée.",Collectivités Locales
25,96-06,,25,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre II : Compétences de la région.,,,"Le conseil régional règle par ses délibérations les affaires de la région.
La région a compétence pour promouvoir le développement économique, éducatif, social, sanitaire, culturel et scientifique de la région, pour réaliser les plans régionaux de développement et organiser l'aménagement de son territoire dans le respect de l'intégrité, de l'autonomie et des attributions des communes et des communautés rurales.
Elle peut engager des actions complémentaires de celles de l'Etat, et des autres collectivités locales situées dans la région, dans les domaines et les conditions qui sont fixées par les lois portant répartition des compétences prévues à l'article 5 du présent code.
La région peut passer des conventions avec l'Etat ou avec d'autres collectivités locales ou leurs groupements, pour mener avec eux des actions relevant de leur compétence, dans le strict respect de leurs attributions.
Elle propose aux collectivités locales de la région toutes mesures tendant à favoriser la coordination des investissements locaux et des actions de développement, sous réserve des dispositions de l'article 13.",Collectivités Locales
26,96-06,,26,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre II : Compétences de la région.,,,"Dans le respect des dispositions constitutionnelles et dans les conditions fixées par le Titre VI du présent code, la région peut passer des conventions de coopération décentralisée avec des collectivités locales, des organismes publics ou privés étrangers ou internationaux.",Collectivités Locales
27,96-06,,27,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre II : Compétences de la région.,,,"Lorsque le conseil régional délibère en dehors de ses réunions légales ou sur un objet étranger à ses compétences, le représentant de l'Etat prononce par arrêté motivé, la nullité des actes, prend toutes les mesures nécessaires pour que l'assemblée se sépare immédiatement.
Il est interdit à tout conseil de délibérer sur un objet étranger à ses compétences, de publier des proclamations et adresses, d'émettre des vœux politiques menaçant l'intégrité territoriale et l'unité nationale ou de se mettre en communication avec un ou plusieurs conseils régionaux hors les cas prévus par la loi.
Dans les cas prévus à l'alinéa 2 ci-dessus, le représentant de l'Etat prend un arrêté motivé qu'il transmet au Procureur de la République du ressort pour l'exécution des lois et l'application s'il y a lieu de l'article 226 du Code pénal.
En cas de condamnation, les membres de la réunion sont déclarés, par le jugement, exclus du conseil régional et inéligibles pendant les trois années qui suivent la condamnation.
La nullité des actes et des délibérations pris en violation du présent article est prononcée dans les formes indiquées au titre VI du présent Code.",Collectivités Locales
28,96-06,,28,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 1 : Formation des organes de la région,,"Le conseil régional composé de conseillères et de conseillers régionaux élus pour cinq ans conformément au Code électoral, est l'organe délibérant de la région.
Dans les formes et conditions prévues à l'article 41 du présent code, le conseil élit en son sein un bureau composé d'un président, d'un premier vice-président, d'un second vice-président et de deux secrétaires.
Les membres du bureau, en raison des responsabilités qui leur sont dévolues, doivent savoir lire et écrire.
Après le président et les membres du bureau dans l'ordre de leur élection, les conseillers régionaux prennent rang dans l'ordre du tableau.
L'ordre du tableau est déterminé :-par la date la plus ancienne des élections intervenues depuis le dernier renouvellement intégral du conseil régional.-entre conseillers élus le même jour, par la priorité d'âge.",Collectivités Locales
29,96-06,,29,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 1 : Formation des organes de la région,,"Le président du conseil régional et les membres du bureau sont élus pour la même durée que le conseil régional.
A l'occasion des cérémonies officielles et des circonstances solennelles, le président et les membres du bureau portent en ceinture une écharpe aux couleurs nationales, avec franges dorées pour le président et franges argentées pour les membres du bureau.",Collectivités Locales
30,96-06,,30,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 1 : Formation des organes de la région,,"Le conseil régional peut déléguer l'exercice d'une partie de ses attributions au bureau, à l'exception de celles visées aux articles 43 et 44 du présent code. Cette décision doit faire l'objet d'une délibération déterminant l'étendue et la durée de la délégation. A l'expiration de la durée de la délégation, compte en est rendu au conseil régional.
Le conseil régional désigne parmi ses membres des délégués appelés à siéger au sein d'organismes extérieurs dans les cas et conditions prévus par les textes régissant ces organismes. La fixation par les textes précités de la durée des fonctions assignées à ces membres ou délégués ne fait pas obstacle à ce qu'il puisse être procédé, à tout moment et pour le reste de cette durée, à leur remplacement.",Collectivités Locales
31,96-06,,31,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 1 : Formation des organes de la région,,"Il est créé par décret, auprès du conseil régional, un comité économique et social, composé de personnes représentatives des activités économiques, sociales, culturelles et scientifiques de la région, d'élus locaux ainsi que de personnalités reconnues pour leur compétence désignées par le Président de la République.
Ces personnes doivent savoir lire et écrire.
Le comité donne son avis sur toute matière soit sur saisine du président du conseil régional, soit de sa propre initiative, soit à la demande du conseil régional.
Il se réunit au moins une fois par an, sur convocation de son président, le président du conseil régional étant dûment représenté. Il est obligatoirement consulté pour donner son avis sur les budgets annuels, le plan de développement régional et les plans d'aménagement régional, ainsi que sur leur déroulement annuel et sur les propositions d'ententes interrégionales.",Collectivités Locales
32,96-06,,32,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 1 : Formation des organes de la région,,"Le président du conseil régional est l'organe exécutif de la Région. Il prépare et exécute les délibérations du conseil régional.
Il est l'ordonnateur des dépenses de la région et prescrit l'exécution des recettes, sous réserve des dispositions particulières du Code général des Impôts relatives au recouvrement des recettes fiscales des collectivités locales.
Il est le chef des services de la région. Il peut, sous sa surveillance et sous sa responsabilité, donner délégation de signature aux membres du bureau.
Dans les mêmes conditions, il peut aussi déléguer sa signature au secrétaire général de la région, ainsi qu’aux responsables desdits services.
Le président du conseil régional gère le domaine de la région. A ce titre, il exerce les pouvoirs de police afférents à cette gestion, notamment en ce qui concerne la circulation sur ce domaine, sous réserve des attributions dévolues aux représentants de l’Etat, aux maires et aux présidents de conseil rural.",Collectivités Locales
33,96-06,,33,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 1 : Formation des organes de la région,,"Pour la préparation et l'exécution des délibérations du conseil régional, son président peut disposer, le cas échéant, des services extérieurs de l'Etat dans le cadre d'une convention signée avec le représentant de l'Etat, précisant les conditions de prise en charge par la région de ces missions.
Il peut, sous sa surveillance et sa responsabilité, donner délégation de signature aux chefs desdits services pour l'exécution des missions qu'il leur confie, en application de l'alinéa précédent.
Les conditions et les modalités de l'utilisation par la région de ces services, sous forme de conventions-types, sont fixées par décret.",Collectivités Locales
34,96-06,,34,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 1 : Formation des organes de la région,,"Pour l'application du présent code, les agents de l'Etat chargés de l'exécution de tâches régionales, sont affectés auprès du président du conseil régional et sont placés, pour l'exercice de leurs fonctions, sous l'autorité de celui-ci.
Ces personnels restent régis par les statuts qui leur sont applicables lors de l'entrée en vigueur de la présente loi.
En outre, tout engagement d'un agent par la région s'effectue selon les modalités de recrutement, de rémunération et de déroulement de carrière applicables aux emplois de l'Etat équivalents.",Collectivités Locales
35,96-06,,35,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 1 : Formation des organes de la région,,"Le secrétaire général de la région est nommé par le président du conseil régional, après avis consultatif du représentant de l'Etat, parmi les agents et fonctionnaires de la hiérarchie A de la fonction publique, ou de niveau équivalent dans les conditions précisées par décret.
Il assiste aux réunions de bureau avec voix consultative.
Le président du conseil régional met fin à ses fonctions dans les mêmes formes.",Collectivités Locales
36,96-06,,36,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 1 : Formation des organes de la région,,"La coordination entre l'action des services régionaux et celle des services de l'Etat dans la région est assurée par le représentant de l'Etat en rapport avec le président du conseil régional.
Le représentant de l'Etat réunit une conférence d'harmonisation au moins deux fois par an sur les programmes d'investissement de l'Etat et de la région.
Le président du conseil régional ou son représentant y assiste de droit.",Collectivités Locales
37,96-06,,37,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 1 : Formation des organes de la région,,"La région constitue en commun, avec les communes et les communautés rurales, une agence régionale de développement (ARD).
Cette agence a pour mission d'apporter aux collectivités locales une assistance gratuite dans tous les domaines d'activités liés au développement. Les modalités de création, d'organisation et de fonctionnement de cette agence sont précisées par décret.
Le président du conseil régional en assure la présidence, le représentant de l'Etat y assiste de droit ou s'y fait représenter.
La région peut créer toute autre structure régionale concourant à l'efficacité de ses missions, dans les conditions fixées par décret.",Collectivités Locales
38,96-06,,38,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 1 : Formation des organes de la région,,"Les fonctions de président, de membre du bureau, de conseiller régional, de président et de membre de délégations spéciales, donnent lieu sur le budget régional au paiement d’indemnités ou remboursement de frais que nécessite l’exécution des mandats qui leur sont confiés.
Le conseil régional peut voter sur les ressources ordinaires de la région, des indemnités aux présidents, pour frais de représentation. En cas de dissolution, ces indemnités sont attribuées au président de la délégation spéciale.
Un décret fixe les modalités d’attribution ainsi que les taux maxima des indemnités et frais visés au présent article.",Collectivités Locales
39,96-06,,39,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 1 : Formation des organes de la région,,"La charge de la réparation du préjudice résultant d’un accident survenu dans l’exercice de ses fonctions, des Présidents et vice-présidents et membres de bureaux, des présidents et vice-présidents de délégation spéciale, incombe à la région.
Dans l’exercice de leurs fonctions, ils bénéficient de protection conformément aux dispositions du code pénal et des lois spéciales.
Les conseillers régionaux et les délégués spéciaux bénéficient de la même protection lorsqu’ils sont chargés de l’exécution d’un mandat spécial. Dans ce cas, ils bénéficient également des dispositions de l’alinéa premier ci-dessus.",Collectivités Locales
40,96-06,,40,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 2 : Fonctionnement des organes de la région.,,"Le conseil régional a son siège au chef-lieu de la région.
Il se réunit une fois par trimestre en session ordinaire. La durée de chaque session ne peut excéder quinze jours, sauf la session budgétaire qui peut durer un mois.
Pour les années de renouvellement du mandat des conseillers régionaux, la première réunion se tient de plein droit dans les quinze jours qui suivent la proclamation officielle des résultats. Elle est convoquée par le représentant de l'Etat.
Les pouvoirs du conseil sortants expirent à l’ouverture de cette première réunion.",Collectivités Locales
41,96-06,,41,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 2 : Fonctionnement des organes de la région.,,"Au cours de la première réunion, le conseil régional présidé, par son doyen d'âge, le plus jeune membre faisant fonction de secrétaire, élit son président parmi ses membres.
L'élection a lieu au scrutin secret et à la majorité absolue des membres du conseil régional.
Si, après deux tours de scrutin, aucun candidat n'a obtenu la majorité absolue, il est procédé à un troisième tour de scrutin et l'élection a alors lieu à la majorité relative. En cas d'égalité de suffrages, le plus âgé est déclaré élu.
Le conseil régional ne peut, dans ce cas délibérer que si les deux tiers de ses membres sont présents. Si cette condition n'est pas remplie, la réunion est reconvoquée de plein droit huit jours plus tard. La réunion peut alors avoir lieu sans condition de quorum.
Aussitôt après l'élection du président, et sous sa présidence, le conseil régional complète son bureau en élisant ses deux vice-présidents et ses deux secrétaires. Chaque membre du bureau est élu dans les mêmes conditions que le président et pour la même durée.",Collectivités Locales
42,96-06,,42,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 2 : Fonctionnement des organes de la région.,,"Après l'élection de son bureau, le conseil régional forme ses commissions, procède à la désignation de ses membres ou de ses délégués pour le représenter au sein d'organismes extérieurs.",Collectivités Locales
43,96-06,,43,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 2 : Fonctionnement des organes de la région.,,"Le conseil régional est également réuni en session extraordinaire sur un ordre du jour déterminé à la demande :
du président;
ou du tiers des membres du conseil régional, pour une durée qui ne peut excéder trois jours. Un même conseiller ne peut présenter plus d'une demande de réunion par année;
du représentant de l'Etat.",Collectivités Locales
44,96-06,,44,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 2 : Fonctionnement des organes de la région.,,"Le conseil régional forme de droit 4 commissions-Commission des affaires administratives, juridiques et du règlement intérieur.-Commission de l'éducation, de la santé et de la population, des affaires sociales et culturelles, de la jeunesse et des sports.-Commission des finances, du plan et du développement économique,-Commission de l'environnement, de l'aménagement du territoire, des domaines, de l'urbanisme et de l'habitat.
Toute autre commission peut être créée ou dissoute par délibération du conseil régional, sur demande de son président ou sur proposition d'au moins 1/3 des membres du conseil régional.",Collectivités Locales
45,96-06,,45,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 2 : Fonctionnement des organes de la région.,,"Les conseillers régionaux ont droit, pendant les sessions ou lors de missions fixées par le président, à une indemnité journalière et à des frais de déplacement pour participation aux travaux du conseil régional. Les montants de cette indemnité et de ces frais sont fixés par décret.
Les membres du comité économique et social régional, autres que les élus, bénéficient d'une indemnité fixée par décret.",Collectivités Locales
46,96-06,,46,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 2 : Fonctionnement des organes de la région.,,Une inter commission des conseils régionaux élabore un règlement intérieur sur convocation du Ministre chargé des Collectivités locales. Sa mise en vigueur est soumise au Titre VI du présent code.,Collectivités Locales
47,96-06,,47,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 2 : Fonctionnement des organes de la région.,,"Les séances du conseil régional sont publiques sauf si le conseil en décide autrement à la majorité absolue des membres présents ou représentés.
Sauf scrutin secret, pour chaque vote, s'il y a partage des voix celle du président est prépondérante. Le vote a lieu au scrutin public sur la demande du quart des membres présents ; les prénoms et noms des votants, avec la désignation de leur vote, sont insérés au procès-verbal.",Collectivités Locales
48,96-06,,48,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 2 : Fonctionnement des organes de la région.,,"Le conseil régional ne peut délibérer que si la majorité absolue de ses membres en exercice est présente à l'ouverture de la session.
Toutefois, si le conseil régional ne se réunit pas, au jour fixé par la convocation, en nombre suffisant pour délibérer, la réunion est reconvoquée de plein droit huit jours plus tard et les délibérations sont alors valables si le quart au moins des membres du Conseil sont présents.",Collectivités Locales
49,96-06,,49,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 2 : Fonctionnement des organes de la région.,,"Quinze jours au moins avant la réunion du conseil régional, le président adresse aux conseillers régionaux un rapport sur chacune des affaires qui doivent leur être soumises.
Chaque année, le président rend compte au conseil régional par un rapport spécial, présenté au mois de janvier de l'année suivant la fin de la gestion, de la situation de la région, sur les matières transférées, de l'activité et du fonctionnement des différents services de la région et des organismes qui relèvent de celle-ci ainsi que des crédits qui leur sont alloués. Le rapport précise également l'état d'exécution des délibérations du conseil régional et de la situation financière de la région. Ce rapport spécial donne lieu à un débat. Il est transmis pour information au représentant de l'Etat. Il est rendu public.",Collectivités Locales
50,96-06,,50,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 2 : Fonctionnement des organes de la région.,,"Aux séances du conseil régional, la présence du représentant de l'Etat ou de son délégué dûment mandaté, est de droit. Chaque fois qu'il le demande, le représentant de l'Etat ou son délégué est entendu, mais ne peut ni participer au vote, ni présider le conseil régional. Ses déclarations sont portées au procès-verbal des délibérations.
Une fois par an, le représentant de l'Etat expose, devant le conseil régional, par un rapport spécial, présenté au mois de janvier de l'année suivant la fin de la gestion, l'activité des services de l'Etat dans la région. Ce rapport spécial donne lieu à un débat en sa présence.",Collectivités Locales
51,96-06,,51,,1996-03-22,,,TITRE II : DE LA REGION,Chapitre III : Organes de la région,Section 2 : Fonctionnement des organes de la région.,,"Un conseiller régional, empêché, peut donner procuration écrite de vote avec signature certifiée conforme à un autre conseiller régional, pour la réunion à laquelle il ne peut assister.
Un conseiller régional ne peut recevoir qu'une seule procuration.",Collectivités Locales
52,96-06,,52,,1996-03-22,,,TITRE II : DE LA REGION,"Chapitre IV : Dissolution du conseil, substitution, suppléance, cessation de fonctions.",,,"Lorsque le fonctionnement d'un conseil régional se révèle durablement impossible, sa dissolution peut être prononcée par décret, après avis du Conseil d'Etat.
La dissolution ne peut être prononcée par voie de mesure générale.",Collectivités Locales
53,96-06,,53,,1996-03-22,,,TITRE II : DE LA REGION,"Chapitre IV : Dissolution du conseil, substitution, suppléance, cessation de fonctions.",,,"En cas de dissolution du conseil régional, de démission de tous ses membres ou d'annulation devenue définitive de l'élection de tous ses membres, une délégation spéciale de sept membres est nommée par arrêté du Ministre chargé des Collectivités locales.
Cette délégation, présidée par le représentant de l'Etat, a les mêmes attributions que le conseil régional.
Toutefois, elle ne peut :-aliéner ou échanger des propriétés de la région;-augmenter l'effectif budgétaire;-créer des services publics;-voter des emprunts.
Il est procédé à la réélection du conseil régional dans un délai maximum de six mois.
Le représentant de l'Etat convoque le conseil élu pour la première réunion, dont il fixe la date, l'heure et le lieu.",Collectivités Locales
54,96-06,,54,,1996-03-22,,,TITRE II : DE LA REGION,"Chapitre IV : Dissolution du conseil, substitution, suppléance, cessation de fonctions.",,,"Dans le cas où le président du conseil régional refuse ou néglige d'accomplir un des actes qui lui sont prescrits par la loi ou les règlements ou qui s'imposent absolument dans l'intérêt de la région, le Ministre chargé des Collectivités locales, après l'en avoir mis en demeure, peut y faire procéder d'office.
Cette mise en demeure doit être faite par écrit et indiquer le délai imparti au président pour répondre au Ministre chargé des Collectivités locales.
Si la mise en demeure est restée vaine dans le délai imparti, ce silence équivaut à un refus.
Lorsqu'il s'agit d'une mesure présentant un intérêt interrégional, le Ministre chargé des Collectivités locales peut se substituer, dans les mêmes conditions, aux présidents des conseils régionaux intéressés.",Collectivités Locales
55,96-06,,55,,1996-03-22,,,TITRE II : DE LA REGION,"Chapitre IV : Dissolution du conseil, substitution, suppléance, cessation de fonctions.",,,"Le président du conseil régional qui, pour une cause postérieure à son élection, ne remplit plus les conditions requises pour être président ou qui se trouve dans un des cas d'inéligibilité prévus par la loi, doit cesser immédiatement ses fonctions. Le ministre chargé des Collectivités locales l'enjoint de se démettre aussitôt de ses fonctions sans attendre l'installation de son successeur. Si le président refuse de démissionner, le Ministre chargé des Collectivités locales décide par arrêté sa suspension pour un mois. Il est ensuite mis fin à ses fonctions par décret.",Collectivités Locales
