,id_Article,domaine,numero_loi,numero_decret,numero_arrete,declaration,numero_article,titre,date_signature,division_partie,division_livre,division_titre,division_sous_titre,division_chapitre,division_section,division_sous_section,section_application,loyer,type_terrain,region,ville,localite,categorie,type_habitation,contenu
10,11,,,2012-396,,0,6,,2012-03-27,,,,,,,,,0,,,,,,,"Tout acte à l’origine de la création d’un doit immobilier, qu’il soit réel ou non, doit mentionner le NICAD de l’emprise foncière concernée. Il en va de même pour tout acte translatif de l’un de ces droits. Si le bien immeuble faisant l’objet de l’acte relève du régime de la copropriété, son identification, au moyen du ou des numéros de lots qui lui sont attribués dans l’état descriptif de division, s’ajoute obligatoirement à celle donnée par le NICAD et caractérisant la parcelle d’assise de la copropriété ;"
11,12,,,2012-396,,0,7,,2012-03-27,,,,,,,,,0,,,,,,,"Les Ministres chargés de la Décentralisation, et des Collectivités locales, des Domaines, du Cadastre, de l’Urbanisme, de l’Habitat, de l’Aménagement du territoire, du Transport, Mines et Géologie, Environnement et de l’Agriculture sont chargés de l’exécution du présent décret qui sera publié au Journal officiel."
12,13,,2001-03,,,0,8,,2001-01-22,,,,,,,,,0,,,,,,,"La République du Sénégal garantit à tous les citoyens les libertés individuelles fondamentales, les droits économiques et sociaux ainsi que les droits collectifs. Ces libertés et droits sont notamment :
les libertés civiles et politiques, liberté d’opinion, liberté d’expression, liberté de la presse, liberté d’association, liberté de réunion, liberté de déplacement, liberté de manifestation ;
les libertés culturelles,
les libertés religieuses,
les libertés philosophiques,
les libertés syndicales,
la liberté d’entreprendre,
le droit à l’éducation,
le droit de savoir lire et écrire,
le droit de propriété,
le droit au travail,
le droit à la santé,
le droit à un environnement sain,
le droit à l’information plurielle.
Ces libertés et ces droits s’exercent dans les conditions prévues par la loi."
13,14,,2001-03,,,0,15,,2001-01-22,,,,,,,,,0,,,,,,,"Le droit de propriété est garanti par la présente Constitution. Il ne peut y être porté atteinte que dans le cas de nécessité publique légalement constatée, sous réserve d’une juste et préalable indemnité.
L’homme et la femme ont également le droit d’accéder à la possession et à la propriété de la terre dans les conditions déterminées par la loi."
14,15,,2004-16,,,0,1,,2004-06-04,,,TITRE PREMIER. - DISPOSITIONS GENERALES,,CHAPITRE PREMIER. - OBJECTIFS ET PRIORITÉS DE LA POLITIQUE DE DÉVELOPPEMENT AGRO-SYLVO-PASTORAL,,,,0,,,,,,,"La politique conduite par l’Etat dans le domaine du développement agro-sylvo- pastoral est marquée par le retrait progressif de l’Etat et est conforme aux principes de recentrage de ses missions sur des fonctions régaliennes, de poursuite de la politique de décentralisation, d’amélioration du cadre et des conditions de vie en milieu rural, ainsi que de création d’un environnement propice aux investissements privés en milieu rural."
15,16,,2004-16,,,0,2,,2004-06-04,,,TITRE PREMIER. - DISPOSITIONS GENERALES,,CHAPITRE PREMIER. - OBJECTIFS ET PRIORITÉS DE LA POLITIQUE DE DÉVELOPPEMENT AGRO-SYLVO-PASTORAL,,,,0,,,,,,,"La présente loi tient compte de l’ensemble des activités économiques en milieu rural (culture, élevage, pêche continentale, sylviculture, cueillette, transformation, commerce et services), ainsi que de leurs fonctions sociales et environnementales. Les politiques développées dans ces différents sous-secteurs participent de la politique de développement agro-sylvo-pastoral dont elles font partie intégrante. La présente loi tient également compte des spécificités régionales et des diversités agro écologiques du pays."
16,17,,2004-16,,,0,3,,2004-06-04,,,TITRE PREMIER. - DISPOSITIONS GENERALES,,CHAPITRE PREMIER. - OBJECTIFS ET PRIORITÉS DE LA POLITIQUE DE DÉVELOPPEMENT AGRO-SYLVO-PASTORAL,,,,0,,,,,,,"La présente loi et ses textes complémentaires, ainsi que la politique et ses programmes de développement agro-sylvo-pastoral qui en découlent, s’inscrivent dans le cadre de la mise en œuvre du Document de Stratégie de réduction de la Pauvreté (DSRP), des directives de l’UEMOA et de la CDEAO, des engagements du NEPAD, de la convention UE/ACP, des accords de l’organisation mondiale du commerce et des autres conventions internationales pertinentes auxquelles le Sénégal est partie prenante (OMVG,OMVS, etc.)"
17,18,,2004-16,,,0,4,,2004-06-04,,,TITRE PREMIER. - DISPOSITIONS GENERALES,,CHAPITRE PREMIER. - OBJECTIFS ET PRIORITÉS DE LA POLITIQUE DE DÉVELOPPEMENT AGRO-SYLVO-PASTORAL,,,,0,,,,,,,"La politique et les programmes de développement agro-sylvo-pastoral sont définis, mis en œuvre et évalués par l’Etat, en concertation avec les collectivités locales et l’ensemble des acteurs économiques et sociaux concernés."
18,19,,2004-16,,,0,5,,2004-06-04,,,TITRE PREMIER. - DISPOSITIONS GENERALES,,CHAPITRE PREMIER. - OBJECTIFS ET PRIORITÉS DE LA POLITIQUE DE DÉVELOPPEMENT AGRO-SYLVO-PASTORAL,,,,0,,,,,,,"La réduction de la pauvreté est la principale priorité de la politique de l’Etat, en particulier dans les zones rurales. L’Etat s’emploie à assurer à toutes les personnes exerçant les métiers de l’agriculture un niveau de vie leur permettant de faire face durablement, à leurs besoins légitimes en matière d’alimentation, de santé, de logement, d’habillement, d’éducation, de formation, et de loisirs. Il œuvre également en vue d’atteindre, à moyen terme, un niveau de sécurité alimentaire qui garantisse la souveraineté alimentaire du pays."
19,20,,2004-16,,,0,6,,2004-06-04,,,TITRE PREMIER. - DISPOSITIONS GENERALES,,CHAPITRE PREMIER. - OBJECTIFS ET PRIORITÉS DE LA POLITIQUE DE DÉVELOPPEMENT AGRO-SYLVO-PASTORAL,,,,0,,,,,,,"Les objectifs spécifiques de la politique de développement agro-sylvo-pastoral sont :
la réduction de l’impact des risques climatiques, économiques, environnementaux et sanitaires, par la maîtrise de l’eau, la diversification des productions, la formation des ruraux, afin d’améliorer la sécurité alimentaire de la population, et de réaliser à terme la souveraineté alimentaire du pays ;
l’amélioration des revenus et du niveau de vie des populations rurales, et la mise en place d’un régime de protection sociale en leur faveur ;
l’amélioration du cadre et des conditions de vie en milieu rural, notamment par l’accès aux infrastructures et aux services publics, grâce à un aménagement équilibré et cohérent du territoire.
la protection de l’environnement et la gestion durable des ressources naturelles notamment par la connaissance et l’amélioration de la fertilité des sols ;
la mise en place d’un système d’incitations à l’investissement privé dans l’agriculture et en milieu rural ;
l’amélioration de l’environnement et de la qualité de la production afin que l’agriculture soit un moteur du développement industriel et artisanal, et pour mieux satisfaire aux besoins des marchés intérieur et extérieur (sous régional et international) ;
la réalisation des objectifs ci-dessus contribuent à la réduction des inégalités entre les populations rurales et urbaines et entre les genres, ainsi qu’à la réduction, puis à l’éradication de la pauvreté."
20,21,,2004-16,,,0,7,,2004-06-04,,,TITRE PREMIER. - DISPOSITIONS GENERALES,,CHAPITRE II. - AXES STRATÉGIQUES DE LA POLITIQUE DE DÉVELOPPEMENT AGRO-SYLVO-PASTORAL,,,,0,,,,,,,"Les axes stratégiques de la politique de développement agro-sylvo-pastoral sont basés sur les principes suivants : l’efficacité économique, l’équité sociale, la durabilité environnementale, l’économie de marché, la décentralisation, la responsabilisation des collectivités locales, des organisations professionnelles agricoles et de la société civile, la création d’un marché commun au sein de l’UEMOA et de la CEDEAO, la solidarité, le partenariat et la subsidiarité."
21,22,,2004-16,,,0,8,,2004-06-04,,,TITRE PREMIER. - DISPOSITIONS GENERALES,,CHAPITRE II. - AXES STRATÉGIQUES DE LA POLITIQUE DE DÉVELOPPEMENT AGRO-SYLVO-PASTORAL,,,,0,,,,,,,"Les axes stratégiques de la politique de développement agro-sylvo-pastoral sont :
la	reconnaissance	formelle	des	métiers	de	l’agriculture	et	des	organisations professionnelles agricoles ;
la protection sociale des personnes exerçant les métiers de l’agriculture ;
la définition d’un statut juridique des exploitations agricoles ;
la réforme foncière ;
la diversification des productions agricoles, l’intégration des filières agricoles et la régularisation des marchés ;
la sylviculture et les aménagements forestiers ;
la politique de développement de l’agriculture ;
la maîtrise de l’eau ;
le développement des infrastructures et des services publics en milieu rural ;
la promotion de l’équité sociale en milieu rural ;
la protection contre les calamités naturelles et les risques liés aux activités agro-sylvo- pastorales ;
le développement de l’information agricole, de l’éducation et de la formation au profit des métiers de l’agriculture ;
le	renforcement	des	capacités	des	organisations	professionnelles	agricoles,	des organisations de la société civile, des collectivités locales et des services de l’Etat ;
le développement de la recherche et du conseil agro-sylvo-pastoral ;
le financement du développement agro-sylvo-pastoral.
ET DES ORGANISATIONS PROFESSIONNELLES AGRICOLES"
22,23,,2004-16,,,0,9,,2004-06-04,,,"TITRE II. - METIERS, ORGANISATIONS ET EXPLOITATIONS AGRICOLES",,CHAPITRE III. - STATUT JURIDIQUE DES MÉTIERS DE L’AGRICULTURE,,,,0,,,,,,,"Les métiers de l’agriculture au sens large (agriculteurs, éleveurs, exploitants, forestiers, pêcheurs, artisans, ruraux, etc.). Et les organisations professionnelles agricoles bénéficient d’un statut reconnu et protégé.
Ce statut est conféré de façon identique aux hommes, aux femmes et aux jeunes en âge de travailler qui exercent les métiers de l’agriculture.
Toute personne exerçant un métier de l’agriculture peut bénéficier des mesures définies par la politique et les programmes de développement agro-sylvo-pastoral de l’Etat. Les mesures d’application du présent article sont prises par voie réglementaire."
23,24,,2004-16,,,0,10,,2004-06-04,,,"TITRE II. - METIERS, ORGANISATIONS ET EXPLOITATIONS AGRICOLES",,CHAPITRE III. - STATUT JURIDIQUE DES MÉTIERS DE L’AGRICULTURE,,,,0,,,,,,,"Les personnes exerçant les métiers de l’agriculture peuvent se regrouper au sein d’organisations professionnelles agricoles, telles que les fédérations, syndicats, organisations interprofessionnelles, etc. Ces organisations professionnelles agricoles regroupent les personnes physiques et morales qui souhaitent s’unir pour assurer la défense de leurs intérêts communs et la fourniture de services à leurs membres.
Les organisations professionnelles agricoles s’organisent librement, soit sur une base géographique, au niveau local, régional, national et éventuellement sous-régional, soit en fonction de leurs productions filières et services.
Les organisations professionnelles agricoles peuvent aussi déployer des activités de partenariat avec leurs homologues de la sous-région et au niveau international."
24,25,,2004-16,,,0,11,,2004-06-04,,,"TITRE II. - METIERS, ORGANISATIONS ET EXPLOITATIONS AGRICOLES",,CHAPITRE III. - STATUT JURIDIQUE DES MÉTIERS DE L’AGRICULTURE,,,,0,,,,,,,Des mécanismes de concertation avec les organisations professionnelles sont mis en place par chaque démembrement de l’Etat directement concerné par la politique de développement agro-sylvo-pastoral.
25,26,,2004-16,,,0,12,,2004-06-04,,,"TITRE II. - METIERS, ORGANISATIONS ET EXPLOITATIONS AGRICOLES",,CHAPITRE III. - STATUT JURIDIQUE DES MÉTIERS DE L’AGRICULTURE,,,,0,,,,,,,"L’Etat, en concertation avec les acteurs du développement agro-sylvo-pastoral, réalise une évacuation de l’ensemble des statuts juridiques des organisations professionnelles agricoles et procède aux adaptations nécessaires à leur amélioration, dans un délai de deux ans à compter de la promulgation de la présente loi."
26,27,,2004-16,,,0,13,,2004-06-04,,,"TITRE II. - METIERS, ORGANISATIONS ET EXPLOITATIONS AGRICOLES",,CHAPITRE III. - STATUT JURIDIQUE DES MÉTIERS DE L’AGRICULTURE,,,,0,,,,,,,"L’Etat, en concertation avec les acteurs du développement agro-sylvo-pastoral, crée, conformément à la loi des finances, un système d’aide publique aux organisations professionnelles agricoles, tel que prévu à l’article 72, dans un délai de deux ans à compter de la promulgation d la présente loi.
L’accès au système d’aide publique est subordonné au respect des règlements et statuts régissant les organisations concernées."
27,28,,2004-16,,,0,14,,2004-06-04,,,"TITRE II. - METIERS, ORGANISATIONS ET EXPLOITATIONS AGRICOLES",,CHAPITRE IV. PROTECTION SOCIALE DES PERSONNES EXERÇANT LES MÉTIERS DE L’AGRICULTURE,,,,0,,,,,,,Les personnes exerçant les métiers l’agriculture bénéficient d’une protection sociale au même titre que les travailleurs des autres secteurs d’activité. Un régime de protection sociale agro- sylvo-pastorale est défini et mis en œuvre. Ce régime est soutenu par l’Etat pendant les cinq premières années qui suivent le début de son fonctionnement.
28,29,,2004-16,,,0,15,,2004-06-04,,,"TITRE II. - METIERS, ORGANISATIONS ET EXPLOITATIONS AGRICOLES",,CHAPITRE IV. PROTECTION SOCIALE DES PERSONNES EXERÇANT LES MÉTIERS DE L’AGRICULTURE,,,,0,,,,,,,"L’Etat, en concertation avec les organisations professionnelles agricoles, établit un plan de mise en œuvre d’un régime de protection sociale agro-sylvo-pastorale dans un délai de deux ans à compter de la promulgation de la présente loi."
29,30,,2004-16,,,0,16,,2004-06-04,,,"TITRE II. - METIERS, ORGANISATIONS ET EXPLOITATIONS AGRICOLES",,CHAPITRE V. - STATUT JURIDIQUE DES EXPLOITATIONS AGRICOLES,,,,0,,,,,,,"L’exploitation agricole est définie comme une unité disposant de facteurs de production (terre, bâtiments, cheptel, matériels, mains d’œuvre, etc.) qui sont utilisés par un exploitant exerçant un métier de l’agriculture.
Les activités de production agricole constituent une ou plusieurs étapes nécessaires au déroulement d’un cycle biologique, végétal ou animal, et correspondant à la maîtrise et à l’exploitation de ce cycle.
Les activités exercées dans le prolongement de la production agricole, telles, que la transformation, le conditionnement, la conservation, le stockage et la vente des produits provenant de l’exploitation sont considérées comme agricoles aux termes de la présente loi.
Les activités ayant pour support l’exploitation agricole, telles que l’artisanat, le tourisme rural, le commerce des services, etc., sont considérées comme complémentaires des activités agricoles."
30,31,,2004-16,,,0,17,,2004-06-04,,,"TITRE II. - METIERS, ORGANISATIONS ET EXPLOITATIONS AGRICOLES",,CHAPITRE V. - STATUT JURIDIQUE DES EXPLOITATIONS AGRICOLES,,,,0,,,,,,,"Outre sa fonction économique, l’exploitation agricole continue à la gestion des ressources naturelles, à la protection de l’environnement et à l’aménagement équilibré et cohérent du territoire. L’Etat met en place, dans un délai de trois ans à compter de la promulgation de la présente loi, un système d’aides financières pour les exploitations agricoles et les groupements de producteurs qui s’engagent contractuellement à réaliser des actions de gestion durable des ressources naturelles, notamment pour la défense et la restauration des sols, le reboisement, la lutte contre les feux de brousse, les aménagements anti-corrosifs, etc., tel que prévu à l’article 73."
31,32,,2004-16,,,0,18,,2004-06-04,,,"TITRE II. - METIERS, ORGANISATIONS ET EXPLOITATIONS AGRICOLES",,CHAPITRE V. - STATUT JURIDIQUE DES EXPLOITATIONS AGRICOLES,,,,0,,,,,,,"L’exploitation agricole familiale est une unité de production agricole organisée sur une base familiale, au sein de laquelle les rapports entre personnes sont définis librement et ne sont pas régis par le code du travail. La main d’œuvre non familiale est régie par une convention qui sera élaborée conjointement par l’Etat et les organisations professionnelles agricoles dans un délai de deux ans à compter de la promulgation de la présente loi.
L’exploitation agricole peut être gérée de façon individuelle ou communautaire par des personnes ou des familles vivant dans le même lieu, dont les rapports ne sont pas régis par le Code du Travail."
32,33,,2004-16,,,0,19,,2004-06-04,,,"TITRE II. - METIERS, ORGANISATIONS ET EXPLOITATIONS AGRICOLES",,CHAPITRE V. - STATUT JURIDIQUE DES EXPLOITATIONS AGRICOLES,,,,0,,,,,,,"L’exploitation agricole industrielle et commerciale est une unité de production agricole, de droit public ou privé, gérée à titre individuel ou par une société à capitaux, qui a recours à une main d’œuvre rémunérée régie par le Code du Travail et les Conventions collectives en vigueur."
33,34,,2004-16,,,0,20,,2004-06-04,,,"TITRE II. - METIERS, ORGANISATIONS ET EXPLOITATIONS AGRICOLES",,CHAPITRE V. - STATUT JURIDIQUE DES EXPLOITATIONS AGRICOLES,,,,0,,,,,,,"Les exploitations agricoles familiales, industrielles et commerciales doivent, à terme, moderniser leurs outils de production, mettre en œuvre des pratiques agricoles d’élevage améliorées et utiliser des techniques de gestion modernes pour être compétitives."
34,35,,2004-16,,,0,21,,2004-06-04,,,"TITRE II. - METIERS, ORGANISATIONS ET EXPLOITATIONS AGRICOLES",,CHAPITRE V. - STATUT JURIDIQUE DES EXPLOITATIONS AGRICOLES,,,,0,,,,,,,"L’Etat, en concertation avec les acteurs du développement agro-sylvo-pastoral, réalise une évaluation de l’ensemble des statuts juridiques des exploitations agricoles et procède à leur adaptation, compte tenu des besoins de modernisation de l’agriculture, dans un délai de deux ans à compter de la promulgation de la présente loi."
35,36,,2004-16,,,0,22,,2004-06-04,,,TITRE III. - STRATEGIES DE DEVELOPPEMENT AGRO-SYLVO- PASTORAL,,CHAPITRE VI. - RÉFORME FONCIÈRE,,,,0,,,,,,,"La Définition d’une politique foncière et la réforme de la loi sur le domaine national constituent des leviers indispensables pour le développement agro-sylvo-pastoral et pour la modernisation de l’agriculture.
La politique foncière repose sur les principes suivants :
la protection des droits d’exploitation des acteurs ruraux et des droits fonciers des communautés rurales;
la cessibilité encadrée de la terre pour permettre une mobilité foncière favorisant la création d’exploitations plus viables;
la transmissibilité successorale des terres pour encourager l’investissement durable dans l’exploitation familiale;
l’utilisation de la terre comme garantie pour l’obtention du crédit.
La réforme foncière a pour objectifs :
la sécurité foncière des exploitations agricoles, des personnes et des communautés rurales, l’incitation à l’investissement privé dans l’agriculture;
la dotation à l’Etat et aux collectivités locales de ressources financières suffisantes ainsi que la mise à leur disposition de personnels compétents, pour une gestion efficace, équitable et durable des ressources naturelles; et,
l’allègement des contraintes foncières au développement agricole, rural, urbain et industriel."
36,37,,2004-16,,,0,23,,2004-06-04,,,TITRE III. - STRATEGIES DE DEVELOPPEMENT AGRO-SYLVO- PASTORAL,,CHAPITRE VI. - RÉFORME FONCIÈRE,,,,0,,,,,,,Une nouvelle politique foncière sera définie et une loi de réforme foncière sera soumise à l’Assemblée nationale dans un délai de deux ans à compter de la promulgation de la présente loi.
37,38,,2004-16,,,0,24,,2004-06-04,,,TITRE III. - STRATEGIES DE DEVELOPPEMENT AGRO-SYLVO- PASTORAL,,"CHAPITRE VII. - DIVERSIFICATION, FILIÈRES ET RÉGULATION DES MARCHÉS",,,,0,,,,,,,"La diversification des productions agricoles constitue un puissant levier dans l’amélioration des revenus des ruraux et de la sécurité alimentaire du pays. Entre outre, elle devra permettre le développement de filières d’exportations correspondant à la demande Internationale, d’une part, et répondant aux besoins pressants de substitution aux importations de produits alimentaires, d’autre part.
L’Etat, en concertation avec les organisations professionnelles agricoles, définit et met en œuvre un plan national de diversification des productions agricoles. Ce plan a pour objet de déterminer les productions adaptées aux conditions naturelles du Sénégal et susceptibles de bénéficier de débouchés tant à l’échelon national qu’international. Il détermine les conditions à réunir pour développer de nouvelles productions sur le territoire national."
38,39,,2004-16,,,0,25,,2004-06-04,,,TITRE III. - STRATEGIES DE DEVELOPPEMENT AGRO-SYLVO- PASTORAL,,"CHAPITRE VII. - DIVERSIFICATION, FILIÈRES ET RÉGULATION DES MARCHÉS",,,,0,,,,,,,"Les groupements d’organisations professionnelles représentatives de la production agricole, de la transformation et de la commercialisation de produits agricoles, peuvent faire l’objet d’une reconnaissance en qualité d’organisations interprofessionnelles agricoles par l’autorité administrative compétente, après avis du Conseil supérieur d’Orientation Agro-sylvo- pastorale visé à l’article 75, soit au niveau national, soit au niveau d’une zone de production, par produit ou groupe de produits déterminés.
Une seule organisation interprofessionnelle agricole peut être reconnue par produit ou groupe de produits.
Lorsqu’une organisation interprofessionnelle agricole nationale est reconnue, les organisations interprofessionnelles agricoles qui en relèvent constituent des comités de cette organisation et sont représentées en son sein.
Les conditions de reconnaissance et les modalités de fonctionnement des organisations interprofessionnelles agricoles, à l’échelon national, sont fixées par voie réglementaire."
39,40,,2004-16,,,0,26,,2004-06-04,,,TITRE III. - STRATEGIES DE DEVELOPPEMENT AGRO-SYLVO- PASTORAL,,"CHAPITRE VII. - DIVERSIFICATION, FILIÈRES ET RÉGULATION DES MARCHÉS",,,,0,,,,,,,"Les accords conclus dans le cadre d’une organisation interprofessionnelle agricole reconnue peuvent être étendus pour une durée déterminée, en tout ou partie, par l’autorité administrative compétente, lorsqu’ils tendent, par des actions conformes à la politique de développement agro-sylvo-pastoral et compatibles avec les règles de l’UEMOA et de la CEDEAO, à favoriser :
la connaissance de l’offre et de la demande ;
l’adaptation et la régulation de l’offre ;
la mise en œuvre, sous le contrôle de l’Etat, de règles de mise en marché, de prix et de conditions de paiement ;
la qualité des produits ;
les relations interprofessionnelles dans le secteur intéressé, notamment par l’établissement de normes techniques et de programmes de recherche appliquée et de développement ;
la promotion des produits agricoles sur les marchés intérieur et extérieur."
